given_unit,answer_unit,correlation,same_unit,base_accuracy,ft_accuracy
time,distance,positive,s,0,0
velocity,resistance,negative,s,1,1
weight,strongness,positive,d,0,1
weight,acceleration,negative,s,0,0
volume,velocity,negative,s,1,1
time,resistance,positive,s,0,1
punch,strongness,positive,s,0,0
punch,strongness,positive,s,1,1
velocity,temperature,positive,d,0,0
velocity,time,negative,s,0,0
thickness,strongness,positive,s,0,1
velocity,time,negative,s,1,0
weight,strongness,positive,s,1,1
velocity,temperature,positive,s,1,1
volume,velocity,negative,s,1,1
temperature,resistance,positive,s,0,1
distance,resistance,negative,s,0,1
time,distance,positive,d,0,0
time,resistance,positive,d,0,1
velocity,resistance,negative,s,1,0
velocity,time,negative,d,1,0
velocity,resistance,negative,s,1,1
volume,velocity,negative,d,1,1
velocity,distance,positive,d,1,1
distance,size,negative,d,0,1
velocity,resistance,negative,s,1,1
energy,distance,negative,s,0,1
thickness,strongness,positive,s,1,1
time,resistance,positive,d,1,0
distance,size,negative,d,0,1
distance,brightness,negative,s,1,1
weight,acceleration,negative,s,0,1
distance,resistance,negative,d,0,0
friction force,distance,negative,d,1,0
friction force,distance,negative,s,0,0
energy,distance,negative,s,0,1
time,distance,positive,s,1,1
energy,distance,negative,d,0,0
velocity,resistance,negative,s,0,0
temperature,resistance,positive,d,1,1
weight,acceleration,negative,s,0,1
weight,gravity,positive,s,1,1
velocity,velocity,positive,s,1,1
velocity,time,negative,d,1,0
velocity,velocity,positive,s,0,0
weight,gravity,positive,s,0,1
energy,distance,negative,s,0,1
weight,strongness,positive,s,1,1
distance,resistance,negative,s,1,1
velocity,resistance,negative,s,0,1
punch,strongness,positive,s,1,1
weight,thickness,positive,s,1,1
time,distance,positive,d,0,0
velocity,temperature,positive,d,0,0
weight,thickness,positive,s,0,0
distance,temperature,negative,s,1,0
distance,temperature,negative,s,0,0
distance,brightness,negative,d,0,1
velocity,temperature,positive,d,0,0
velocity,time,negative,s,0,1
velocity,resistance,negative,s,0,1
velocity,temperature,positive,s,0,0
velocity,resistance,negative,s,1,1
distance,size,negative,s,0,1
distance,resistance,negative,s,1,1
velocity,temperature,positive,s,0,0
velocity,velocity,positive,s,0,0
velocity,resistance,negative,d,1,0
velocity,temperature,positive,s,0,1
weight,acceleration,negative,s,0,1
distance,temperature,negative,d,0,1
weight,strongness,positive,s,0,0
velocity,time,negative,s,0,1
time,resistance,positive,s,1,0
velocity,time,negative,s,0,1
thickness,strongness,positive,d,1,0
velocity,resistance,negative,s,1,0
velocity,resistance,negative,s,0,0
velocity,velocity,positive,s,0,0
velocity,resistance,negative,s,1,0
weight,gravity,positive,d,0,0
time,resistance,positive,d,0,1
distance,resistance,negative,s,1,0
weight,acceleration,negative,s,1,1
distance,temperature,negative,s,0,1
velocity,resistance,negative,d,0,0
time,distance,positive,d,1,1
thickness,strongness,positive,s,1,0
friction force,distance,negative,d,0,1
distance,time,positive,s,1,1
velocity,temperature,positive,s,0,1
distance,size,negative,d,1,0
velocity,resistance,negative,s,0,1
weight,acceleration,negative,s,1,0
weight,gravity,positive,s,0,0
volume,velocity,negative,s,0,0
weight,acceleration,negative,d,1,0
weight,gravity,positive,s,0,0
weight,thickness,positive,s,1,1
distance,temperature,negative,s,0,0
distance,resistance,negative,s,1,0
weight,gravity,positive,s,0,0
distance,resistance,negative,d,0,0
distance,size,negative,s,1,0
weight,acceleration,negative,d,1,1
time,resistance,positive,s,0,1
velocity,resistance,negative,s,0,0
weight,thickness,positive,s,0,0
time,resistance,positive,d,0,1
friction force,distance,negative,s,0,1
velocity,time,negative,s,0,1
thickness,strongness,positive,d,1,1
velocity,time,negative,s,0,1
velocity,resistance,negative,d,1,0
distance,temperature,negative,s,0,0
distance,brightness,negative,s,0,0
velocity,time,negative,s,1,1
velocity,time,negative,d,1,0
time,distance,positive,s,0,0
punch,strongness,positive,s,1,0
velocity,temperature,positive,s,1,1
time,distance,positive,s,1,1
velocity,temperature,positive,s,0,0
weight,acceleration,negative,s,0,0
temperature,resistance,positive,d,1,0
velocity,temperature,positive,s,1,1
energy,distance,negative,s,1,0
time,resistance,positive,s,1,0
distance,size,negative,s,1,1
distance,size,negative,d,0,0
weight,strongness,positive,d,1,0
distance,resistance,negative,s,0,0
time,distance,positive,s,0,0
distance,size,negative,s,1,0
distance,resistance,negative,s,0,0
distance,size,negative,d,0,1
velocity,resistance,negative,s,1,0
velocity,time,negative,s,0,1
velocity,time,negative,s,1,1
volume,velocity,negative,s,0,0
time,resistance,positive,s,1,0
distance,temperature,negative,s,1,1
velocity,temperature,positive,s,0,1
distance,size,negative,s,0,0
velocity,resistance,negative,d,1,1
distance,temperature,negative,s,0,0
weight,gravity,positive,s,0,1
velocity,temperature,positive,s,1,0
weight,gravity,positive,s,0,0
weight,gravity,positive,d,0,0
velocity,resistance,negative,d,1,0
velocity,temperature,positive,s,0,1
distance,brightness,negative,s,0,0
velocity,resistance,negative,s,1,0
distance,temperature,negative,s,1,1
weight,gravity,positive,s,0,1
friction force,distance,negative,s,0,1
weight,thickness,positive,s,0,0
temperature,resistance,positive,s,1,1
temperature,resistance,positive,s,1,0
velocity,temperature,positive,s,1,1
time,distance,positive,s,1,1
